Flight No,Departure Time,Destination,Category,Tier1%,Tier2%,Tier3%
BA9469,22:18:00,BCN,SHORT,1,5,20
BA9781,18:01:00,ZRH,SHORT,1,5,20
BA8821,10:49:00,IST,SHORT,1,5,20
BA6856,18:21:00,CDG,SHORT,1,5,20
BA5816,15:32:00,MAD,SHORT,1,5,20
BA7298,17:29:00,AMS,SHORT,1,5,20
BA6405,19:00:00,MUC,SHORT,1,5,20
BA3385,14:49:00,ZRH,SHORT,1,5,20
BA5339,10:24:00,JFK,LONG,5,15,30
BA9865,16:41:00,JFK,LONG,5,15,30
BA7033,08:24:00,FRA,SHORT,1,5,20
BA3821,17:26:00,DFW,LONG,5,15,30
BA8055,16:55:00,LAX,LONG,5,15,30
BA6171,16:47:00,LAX,LONG,5,15,30
BA3001,15:42:00,HND,LONG,5,15,30
BA3768,07:16:00,FRA,SHORT,1,5,20
BA9267,20:44:00,AMS,SHORT,1,5,20
BA6715,11:48:00,MAD,SHORT,1,5,20
BA4775,20:07:00,ORD,LONG,5,15,30
BA2094,17:14:00,LAX,LONG,5,15,30
BA4913,22:30:00,FRA,SHORT,1,5,20
BA9045,20:55:00,AMS,SHORT,1,5,20
BA9114,09:56:00,CDG,SHORT,1,5,20
BA6544,18:22:00,MAD,SHORT,1,5,20
BA9205,17:09:00,CDG,SHORT,1,5,20
BA8007,13:52:00,IST,SHORT,1,5,20
BA1151,07:45:00,ZRH,SHORT,1,5,20
BA5060,09:45:00,ORD,LONG,5,15,30
BA1347,12:44:00,CDG,SHORT,1,5,20
BA5108,16:12:00,DFW,LONG,5,15,30
BA6065,14:45:00,HND,LONG,5,15,30
BA2483,14:12:00,IST,SHORT,1,5,20
BA6693,12:52:00,AMS,SHORT,1,5,20
BA3863,22:45:00,LAX,LONG,5,15,30
BA8347,15:22:00,ORD,LONG,5,15,30
BA4445,20:49:00,DXB,LONG,5,15,30
BA3246,10:01:00,VIE,SHORT,1,5,20
BA6147,16:27:00,IST,SHORT,1,5,20
BA4911,07:39:00,AMS,SHORT,1,5,20
BA6683,06:05:00,JFK,LONG,5,15,30
BA2044,06:21:00,HND,LONG,5,15,30
BA4882,18:56:00,BCN,SHORT,1,5,20
BA4939,19:35:00,DXB,LONG,5,15,30
BA9219,12:00:00,IST,SHORT,1,5,20
BA1322,22:57:00,MUC,SHORT,1,5,20
BA8768,12:50:00,BCN,SHORT,1,5,20
BA4012,12:33:00,DFW,LONG,5,15,30
BA3154,20:32:00,AMS,SHORT,1,5,20
BA6745,09:28:00,ORD,LONG,5,15,30
BA5525,22:39:00,DFW,LONG,5,15,30
BA2973,11:17:00,HND,LONG,5,15,30
BA4172,06:20:00,HND,LONG,5,15,30
BA1888,22:05:00,IST,SHORT,1,5,20
BA2154,18:52:00,BCN,SHORT,1,5,20
BA4411,13:10:00,BCN,SHORT,1,5,20
BA1212,09:34:00,MAD,SHORT,1,5,20
BA6356,19:30:00,DXB,LONG,5,15,30
BA3877,10:16:00,MUC,SHORT,1,5,20
BA7908,19:58:00,CDG,SHORT,1,5,20
BA4742,17:15:00,JFK,LONG,5,15,30
BA9486,10:09:00,ZRH,SHORT,1,5,20
BA6214,17:21:00,DXB,LONG,5,15,30
BA7197,18:41:00,LAX,LONG,5,15,30
BA1100,16:49:00,HND,LONG,5,15,30
BA6292,06:25:00,ORD,LONG,5,15,30
BA1360,21:49:00,HND,LONG,5,15,30
BA6502,06:35:00,VIE,SHORT,1,5,20
BA2093,12:13:00,FRA,SHORT,1,5,20
BA9221,13:48:00,CDG,SHORT,1,5,20
BA8604,06:56:00,ZRH,SHORT,1,5,20
BA3701,15:50:00,BCN,SHORT,1,5,20
BA9265,14:09:00,MUC,SHORT,1,5,20
BA8424,19:37:00,ZRH,SHORT,1,5,20
BA1658,14:27:00,ORD,LONG,5,15,30
BA7914,08:02:00,HND,LONG,5,15,30
BA7749,19:54:00,BCN,SHORT,1,5,20
BA9928,15:09:00,DFW,LONG,5,15,30
BA7502,06:51:00,DFW,LONG,5,15,30
BA1020,07:12:00,MUC,SHORT,1,5,20
BA7522,08:00:00,DFW,LONG,5,15,30
BA2567,07:55:00,AMS,SHORT,1,5,20
BA9012,16:28:00,ORD,LONG,5,15,30
BA3925,17:45:00,MAD,SHORT,1,5,20
BA2744,22:17:00,ZRH,SHORT,1,5,20
BA5772,16:51:00,MUC,SHORT,1,5,20
BA3005,12:01:00,ZRH,SHORT,1,5,20
BA2271,14:21:00,VIE,SHORT,1,5,20
BA5265,06:36:00,MUC,SHORT,1,5,20
BA5931,18:33:00,VIE,SHORT,1,5,20
BA4342,08:14:00,ZRH,SHORT,1,5,20
BA4991,20:01:00,ZRH,SHORT,1,5,20
BA2007,10:24:00,ZRH,SHORT,1,5,20
BA6479,14:12:00,HND,LONG,5,15,30
BA3426,13:27:00,ORD,LONG,5,15,30
BA2983,14:21:00,DXB,LONG,5,15,30
BA1260,11:37:00,VIE,SHORT,1,5,20
BA2782,22:28:00,MUC,SHORT,1,5,20
BA2188,12:36:00,LAX,LONG,5,15,30
BA5015,21:37:00,DFW,LONG,5,15,30
BA8479,10:57:00,AMS,SHORT,1,5,20
BA5485,08:47:00,JFK,LONG,5,15,30
BA8720,22:33:00,ZRH,SHORT,1,5,20
BA9333,06:23:00,CDG,SHORT,1,5,20
BA4315,09:27:00,HND,LONG,5,15,30
BA8587,22:14:00,ZRH,SHORT,1,5,20
BA8866,10:16:00,LAX,LONG,5,15,30
BA1461,18:06:00,DFW,LONG,5,15,30
BA6158,14:38:00,ZRH,SHORT,1,5,20
BA1289,17:07:00,IST,SHORT,1,5,20
BA9123,10:48:00,LAX,LONG,5,15,30
BA7662,16:18:00,CDG,SHORT,1,5,20
BA5214,13:27:00,VIE,SHORT,1,5,20
BA9194,07:31:00,MAD,SHORT,1,5,20
BA8411,16:28:00,BCN,SHORT,1,5,20
BA6854,20:11:00,IST,SHORT,1,5,20
BA3294,06:22:00,ORD,LONG,5,15,30
BA8218,09:51:00,VIE,SHORT,1,5,20
BA2432,21:10:00,BCN,SHORT,1,5,20
BA1832,08:35:00,VIE,SHORT,1,5,20
BA8771,17:18:00,MAD,SHORT,1,5,20
BA5161,10:42:00,IST,SHORT,1,5,20
BA8388,08:38:00,MUC,SHORT,1,5,20
BA1895,09:02:00,DXB,LONG,5,15,30
BA9590,08:07:00,ORD,LONG,5,15,30
BA4039,21:17:00,FRA,SHORT,1,5,20
BA3804,21:28:00,DXB,LONG,5,15,30
BA7761,22:53:00,BCN,SHORT,1,5,20
BA3262,20:04:00,HND,LONG,5,15,30
BA7857,15:17:00,JFK,LONG,5,15,30
BA3179,22:00:00,DFW,LONG,5,15,30
BA5048,16:46:00,LAX,LONG,5,15,30
BA2099,07:18:00,CDG,SHORT,1,5,20
BA9662,09:58:00,DXB,LONG,5,15,30
BA7393,15:39:00,ZRH,SHORT,1,5,20
BA6289,22:10:00,MUC,SHORT,1,5,20
BA9299,20:34:00,ORD,LONG,5,15,30
BA7501,08:03:00,ORD,LONG,5,15,30
BA7036,11:21:00,MUC,SHORT,1,5,20
BA9065,10:01:00,ZRH,SHORT,1,5,20
BA5727,08:01:00,JFK,LONG,5,15,30
BA2854,08:45:00,AMS,SHORT,1,5,20
BA1882,19:28:00,CDG,SHORT,1,5,20
BA6445,15:58:00,HND,LONG,5,15,30
BA8917,09:23:00,VIE,SHORT,1,5,20
BA8541,21:42:00,IST,SHORT,1,5,20
BA4882,13:21:00,VIE,SHORT,1,5,20
BA2721,17:33:00,DFW,LONG,5,15,30
BA9120,21:42:00,VIE,SHORT,1,5,20
BA8904,16:50:00,HND,LONG,5,15,30
BA5300,16:10:00,HND,LONG,5,15,30
BA1129,07:46:00,IST,SHORT,1,5,20
BA7759,13:49:00,HND,LONG,5,15,30
BA6974,07:10:00,JFK,LONG,5,15,30
BA1535,13:35:00,JFK,LONG,5,15,30
BA9842,07:04:00,DFW,LONG,5,15,30
BA4938,12:23:00,LAX,LONG,5,15,30
BA5900,09:38:00,ZRH,SHORT,1,5,20
BA8712,11:57:00,FRA,SHORT,1,5,20
BA9346,20:55:00,ZRH,SHORT,1,5,20
BA8273,08:21:00,JFK,LONG,5,15,30
BA7219,22:01:00,DFW,LONG,5,15,30
BA8613,20:23:00,AMS,SHORT,1,5,20
BA7844,10:27:00,FRA,SHORT,1,5,20
BA4373,07:26:00,CDG,SHORT,1,5,20
BA9139,07:20:00,MUC,SHORT,1,5,20
BA9968,22:45:00,ORD,LONG,5,15,30
BA2724,14:41:00,DXB,LONG,5,15,30
BA7163,10:42:00,ORD,LONG,5,15,30
BA1027,09:40:00,DXB,LONG,5,15,30
BA8338,11:29:00,DFW,LONG,5,15,30
BA5677,14:31:00,HND,LONG,5,15,30
BA7100,16:35:00,HND,LONG,5,15,30
BA3789,20:56:00,CDG,SHORT,1,5,20
BA2006,14:31:00,ORD,LONG,5,15,30
BA3841,20:33:00,DXB,LONG,5,15,30
BA6014,10:36:00,FRA,SHORT,1,5,20
BA9387,11:05:00,ORD,LONG,5,15,30
BA2684,10:41:00,ZRH,SHORT,1,5,20
BA4879,12:16:00,JFK,LONG,5,15,30
BA1822,10:49:00,ORD,LONG,5,15,30
BA5535,07:02:00,MAD,SHORT,1,5,20
BA9013,13:36:00,CDG,SHORT,1,5,20
BA9452,22:50:00,BCN,SHORT,1,5,20
BA1513,15:36:00,FRA,SHORT,1,5,20
BA2488,12:16:00,MAD,SHORT,1,5,20
BA1381,07:57:00,AMS,SHORT,1,5,20
BA6452,12:51:00,HND,LONG,5,15,30
BA9652,13:07:00,ORD,LONG,5,15,30
BA2533,12:34:00,HND,LONG,5,15,30
BA6767,20:45:00,BCN,SHORT,1,5,20
BA4299,18:52:00,DXB,LONG,5,15,30
BA7903,17:18:00,ZRH,SHORT,1,5,20
BA2137,09:21:00,ORD,LONG,5,15,30
BA9984,17:07:00,FRA,SHORT,1,5,20
BA8890,20:49:00,MUC,SHORT,1,5,20
BA7042,07:40:00,IST,SHORT,1,5,20
BA8352,15:55:00,FRA,SHORT,1,5,20
BA8036,09:16:00,IST,SHORT,1,5,20
BA9183,18:18:00,HND,LONG,5,15,30
BA2768,19:41:00,VIE,SHORT,1,5,20
BA5766,06:30:00,DFW,LONG,5,15,30
BA1557,14:34:00,IST,SHORT,1,5,20
BA2351,12:39:00,MUC,SHORT,1,5,20
BA5541,14:43:00,MUC,SHORT,1,5,20
BA6745,19:38:00,LAX,LONG,5,15,30
BA5667,18:18:00,ORD,LONG,5,15,30
BA4236,13:04:00,IST,SHORT,1,5,20
BA6398,07:40:00,ORD,LONG,5,15,30
BA8038,19:55:00,HND,LONG,5,15,30
BA9077,16:15:00,HND,LONG,5,15,30
BA9623,19:03:00,ORD,LONG,5,15,30
BA7025,17:26:00,IST,SHORT,1,5,20
BA1915,08:55:00,DXB,LONG,5,15,30
BA5605,15:21:00,AMS,SHORT,1,5,20
BA9278,11:31:00,HND,LONG,5,15,30
BA5030,09:11:00,CDG,SHORT,1,5,20
BA1765,08:30:00,FRA,SHORT,1,5,20
BA2785,22:45:00,FRA,SHORT,1,5,20
BA6997,10:30:00,MAD,SHORT,1,5,20
BA1380,14:50:00,LAX,LONG,5,15,30
BA2472,06:21:00,HND,LONG,5,15,30
BA1358,16:58:00,AMS,SHORT,1,5,20
BA6274,08:41:00,IST,SHORT,1,5,20
BA3317,20:35:00,VIE,SHORT,1,5,20
BA3049,12:33:00,DFW,LONG,5,15,30
BA6784,06:43:00,LAX,LONG,5,15,30
BA4336,19:42:00,DXB,LONG,5,15,30
BA2876,15:21:00,MUC,SHORT,1,5,20
BA1119,16:08:00,IST,SHORT,1,5,20
BA1015,19:42:00,CDG,SHORT,1,5,20
BA8149,12:34:00,ZRH,SHORT,1,5,20
BA6477,16:41:00,MAD,SHORT,1,5,20
BA7210,14:20:00,IST,SHORT,1,5,20
BA2159,21:59:00,FRA,SHORT,1,5,20
BA3617,10:41:00,MUC,SHORT,1,5,20
BA8314,08:50:00,ZRH,SHORT,1,5,20
BA2043,16:28:00,BCN,SHORT,1,5,20
BA9997,21:37:00,AMS,SHORT,1,5,20
BA7452,21:21:00,LAX,LONG,5,15,30
BA9252,18:39:00,MUC,SHORT,1,5,20
BA1347,11:00:00,HND,LONG,5,15,30
BA6385,16:50:00,MUC,SHORT,1,5,20
BA1840,11:31:00,BCN,SHORT,1,5,20
BA4995,19:14:00,BCN,SHORT,1,5,20
BA7560,06:38:00,BCN,SHORT,1,5,20
BA6688,13:23:00,IST,SHORT,1,5,20
BA1193,11:11:00,MAD,SHORT,1,5,20
BA5788,12:14:00,ORD,LONG,5,15,30
BA9583,12:50:00,BCN,SHORT,1,5,20
BA1811,13:59:00,AMS,SHORT,1,5,20
BA6653,22:15:00,DXB,LONG,5,15,30
BA9221,11:56:00,IST,SHORT,1,5,20
BA7875,10:21:00,DXB,LONG,5,15,30
BA8388,14:28:00,ZRH,SHORT,1,5,20
BA1202,16:24:00,IST,SHORT,1,5,20
BA3027,14:38:00,DXB,LONG,5,15,30
BA1476,18:08:00,LAX,LONG,5,15,30
BA7822,10:21:00,AMS,SHORT,1,5,20
BA7332,20:00:00,LAX,LONG,5,15,30
BA6649,14:44:00,DXB,LONG,5,15,30
BA2322,15:36:00,DFW,LONG,5,15,30
BA4478,13:10:00,DXB,LONG,5,15,30
BA6230,06:41:00,JFK,LONG,5,15,30
BA4961,20:28:00,VIE,SHORT,1,5,20
BA5476,07:56:00,IST,SHORT,1,5,20
BA5574,08:12:00,DXB,LONG,5,15,30
BA1803,11:54:00,DXB,LONG,5,15,30
BA1260,12:19:00,MUC,SHORT,1,5,20
BA9105,08:41:00,ORD,LONG,5,15,30
BA8397,08:54:00,MAD,SHORT,1,5,20
BA1854,12:35:00,AMS,SHORT,1,5,20
BA5419,08:07:00,AMS,SHORT,1,5,20
BA3078,15:21:00,AMS,SHORT,1,5,20
BA5463,13:57:00,CDG,SHORT,1,5,20
BA5981,22:00:00,BCN,SHORT,1,5,20
BA2060,06:31:00,ORD,LONG,5,15,30
BA9210,14:07:00,CDG,SHORT,1,5,20
BA7005,19:43:00,CDG,SHORT,1,5,20
BA7112,20:30:00,CDG,SHORT,1,5,20
BA5717,18:03:00,FRA,SHORT,1,5,20
BA1302,16:37:00,ZRH,SHORT,1,5,20
BA4850,19:56:00,MAD,SHORT,1,5,20
BA9457,09:55:00,JFK,LONG,5,15,30
BA4011,20:02:00,LAX,LONG,5,15,30
BA2658,19:12:00,IST,SHORT,1,5,20
BA8563,18:52:00,BCN,SHORT,1,5,20
BA5550,09:09:00,VIE,SHORT,1,5,20
BA8322,07:22:00,IST,SHORT,1,5,20
BA4807,21:20:00,DFW,LONG,5,15,30
BA5170,14:07:00,MAD,SHORT,1,5,20
BA6776,07:02:00,VIE,SHORT,1,5,20
BA9848,16:49:00,VIE,SHORT,1,5,20
BA6530,15:38:00,DXB,LONG,5,15,30
BA9300,18:05:00,MAD,SHORT,1,5,20
BA5311,08:07:00,MUC,SHORT,1,5,20
BA8293,13:25:00,IST,SHORT,1,5,20
BA1467,20:17:00,MAD,SHORT,1,5,20
BA4436,14:19:00,DFW,LONG,5,15,30
BA1443,18:55:00,DFW,LONG,5,15,30
BA9854,11:12:00,LAX,LONG,5,15,30
BA3572,06:34:00,ZRH,SHORT,1,5,20
BA2513,12:57:00,FRA,SHORT,1,5,20
BA4939,15:08:00,MUC,SHORT,1,5,20
BA1956,21:40:00,FRA,SHORT,1,5,20
BA4103,08:38:00,ZRH,SHORT,1,5,20
BA7431,08:06:00,AMS,SHORT,1,5,20
BA8009,15:06:00,MUC,SHORT,1,5,20
BA5790,15:07:00,ORD,LONG,5,15,30
BA4079,16:09:00,IST,SHORT,1,5,20
BA9732,11:20:00,ORD,LONG,5,15,30
BA1576,22:56:00,MAD,SHORT,1,5,20
BA6270,16:49:00,VIE,SHORT,1,5,20
BA2222,07:14:00,IST,SHORT,1,5,20
BA5658,07:30:00,LAX,LONG,5,15,30
BA5624,13:25:00,IST,SHORT,1,5,20
BA7581,16:45:00,AMS,SHORT,1,5,20
BA1869,22:19:00,ORD,LONG,5,15,30
BA1544,10:28:00,HND,LONG,5,15,30
BA1876,13:22:00,MAD,SHORT,1,5,20
BA8905,15:10:00,HND,LONG,5,15,30
BA7036,19:47:00,MUC,SHORT,1,5,20
BA9120,11:42:00,BCN,SHORT,1,5,20
BA2777,11:25:00,FRA,SHORT,1,5,20
BA8499,07:40:00,ORD,LONG,5,15,30
BA7298,14:17:00,MUC,SHORT,1,5,20
BA9240,12:47:00,ORD,LONG,5,15,30
BA9015,17:24:00,DFW,LONG,5,15,30
BA4578,07:11:00,LAX,LONG,5,15,30
BA1973,16:19:00,FRA,SHORT,1,5,20
BA9399,18:18:00,MAD,SHORT,1,5,20
BA2866,10:34:00,MUC,SHORT,1,5,20
BA9663,16:31:00,FRA,SHORT,1,5,20
BA2476,14:22:00,MUC,SHORT,1,5,20
BA9803,16:08:00,DFW,LONG,5,15,30
BA7460,08:07:00,AMS,SHORT,1,5,20
BA4646,12:50:00,LAX,LONG,5,15,30
BA1428,06:53:00,IST,SHORT,1,5,20
BA1479,17:56:00,ZRH,SHORT,1,5,20
BA7838,15:26:00,DXB,LONG,5,15,30
BA8206,18:28:00,DFW,LONG,5,15,30
BA1812,13:56:00,BCN,SHORT,1,5,20
BA1602,13:02:00,DFW,LONG,5,15,30
BA5015,12:21:00,DFW,LONG,5,15,30
BA1070,21:58:00,MAD,SHORT,1,5,20
BA1739,14:31:00,DXB,LONG,5,15,30
BA1929,12:54:00,BCN,SHORT,1,5,20
BA9437,10:42:00,HND,LONG,5,15,30
BA4572,15:45:00,ORD,LONG,5,15,30
BA1158,09:53:00,DFW,LONG,5,15,30
BA3878,08:13:00,LAX,LONG,5,15,30
BA8956,18:37:00,DXB,LONG,5,15,30
BA8530,14:17:00,ZRH,SHORT,1,5,20
BA4257,12:35:00,DFW,LONG,5,15,30
BA5383,10:46:00,ORD,LONG,5,15,30
BA8834,13:47:00,LAX,LONG,5,15,30
BA2129,12:18:00,AMS,SHORT,1,5,20
BA2621,15:35:00,FRA,SHORT,1,5,20
BA9607,10:01:00,AMS,SHORT,1,5,20
BA2568,21:35:00,LAX,LONG,5,15,30
BA7512,20:20:00,ORD,LONG,5,15,30
BA3009,10:24:00,ZRH,SHORT,1,5,20
BA9327,20:18:00,VIE,SHORT,1,5,20
BA7213,15:29:00,BCN,SHORT,1,5,20
BA1681,13:45:00,VIE,SHORT,1,5,20
BA4649,10:50:00,ZRH,SHORT,1,5,20
BA8076,08:18:00,JFK,LONG,5,15,30
BA7198,19:00:00,FRA,SHORT,1,5,20
BA5639,20:36:00,JFK,LONG,5,15,30
BA1827,13:19:00,BCN,SHORT,1,5,20
BA1673,08:39:00,FRA,SHORT,1,5,20
BA9993,06:27:00,VIE,SHORT,1,5,20
BA1635,14:14:00,IST,SHORT,1,5,20
BA1663,08:07:00,HND,LONG,5,15,30
BA9145,12:48:00,AMS,SHORT,1,5,20
BA5421,12:13:00,ZRH,SHORT,1,5,20
BA3976,16:45:00,VIE,SHORT,1,5,20
BA2955,15:20:00,AMS,SHORT,1,5,20
BA5040,14:13:00,MAD,SHORT,1,5,20
BA6351,08:24:00,FRA,SHORT,1,5,20
BA9739,06:27:00,AMS,SHORT,1,5,20
BA9866,16:01:00,MUC,SHORT,1,5,20
BA5878,11:18:00,VIE,SHORT,1,5,20
BA9478,20:55:00,CDG,SHORT,1,5,20
BA5867,18:18:00,HND,LONG,5,15,30
BA1580,15:41:00,IST,SHORT,1,5,20
BA7835,16:42:00,AMS,SHORT,1,5,20
BA6011,06:18:00,ORD,LONG,5,15,30
BA1901,10:33:00,VIE,SHORT,1,5,20
BA9794,10:09:00,HND,LONG,5,15,30
BA9541,17:29:00,CDG,SHORT,1,5,20
BA6968,12:02:00,AMS,SHORT,1,5,20
BA9145,14:50:00,VIE,SHORT,1,5,20
BA4966,19:37:00,JFK,LONG,5,15,30
BA5325,18:52:00,DFW,LONG,5,15,30
BA6991,10:27:00,JFK,LONG,5,15,30
BA6716,08:52:00,DXB,LONG,5,15,30
BA3643,12:35:00,BCN,SHORT,1,5,20
BA1129,10:30:00,VIE,SHORT,1,5,20
BA2929,22:58:00,ORD,LONG,5,15,30
BA5857,17:27:00,DXB,LONG,5,15,30
BA5778,14:44:00,VIE,SHORT,1,5,20
BA2680,18:31:00,MUC,SHORT,1,5,20
BA4707,08:35:00,MAD,SHORT,1,5,20
BA2672,07:58:00,VIE,SHORT,1,5,20
BA5774,17:16:00,MUC,SHORT,1,5,20
BA6290,12:21:00,FRA,SHORT,1,5,20
BA8914,07:25:00,LAX,LONG,5,15,30
BA4087,19:50:00,ORD,LONG,5,15,30
BA9659,22:24:00,JFK,LONG,5,15,30
BA6878,22:16:00,ORD,LONG,5,15,30
BA1597,19:09:00,DXB,LONG,5,15,30
BA9849,08:36:00,VIE,SHORT,1,5,20
BA1941,21:44:00,ZRH,SHORT,1,5,20
BA6871,06:02:00,ORD,LONG,5,15,30
BA9123,16:03:00,IST,SHORT,1,5,20
BA2749,08:36:00,IST,SHORT,1,5,20
BA2118,17:17:00,VIE,SHORT,1,5,20
BA2193,13:37:00,JFK,LONG,5,15,30
BA1647,10:45:00,CDG,SHORT,1,5,20
